"deviceid";"dt";"name";"switchno";"Location";"area";"rating";"totalload";"totalload_b";"totalload_y";"numberofpoles";"numberofpoles_b";"numberofpoles_y";"referencewattage_b";"referencewattage_y";"referencewattage";"typeofload";"latitude";"longitude";"mobile";"city";"userid";"phase";"wardno";"zone";"commandmode";"updated";"cpname";"cpmobileno"
2004;"2015-07-28 12:39:03";"";2004;"SS-147/A";"M.V.P.Sector 12";480.0;240.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;20.0;"1";17.737;83.337221;9130032004.0;1;1;1;7.0;"2";2;1;"";""
1998;"2015-07-28 13:16:14";"";1998;"SS-94/CA";"M.V.P.Sector 12";500.0;250.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;28.0;"1";17.737624;83.337479;9130031998.0;1;1;1;7.0;"2";2;1;"";""
1997;"2015-07-28 13:40:48";"";1997;"SS-246/A/1";"M.V.P.Sector 12";670.0;330.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;24.0;"1";17.737524;83.338479;9130031997.0;1;1;1;7.0;"2";2;1;"";""
2008;"2015-07-28 14:40:11";"";2008;"SS-126/B";"Lawson Bay Colony";940.0;460.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;26.0;"1";17.730616;83.331465;9130032008.0;1;1;1;7.0;"2";2;1;"";""
2009;"2015-07-28 15:59:24";"";2009;"SS-93/B/1";"M.V.P.Sector 12";240.0;120.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;20.0;"1";17.730616;83.320074;9130032009.0;1;1;1;7.0;"2";2;1;"";""
1794;"2015-07-28 17:30:50";"";1794;"SS-170/B/1";"Lawson Bay Colony";1660.0;800.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;53.0;"1";17.733635;83.338934;9130031794.0;1;1;1;7.0;"2";2;1;"";""
1793;"2015-07-28 17:59:08";"";1793;"SS-56/A/1";"Lawson Bay colony";470.0;230.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;26.0;"1";17.739558;83.3202523;9130031793.0;1;1;1;7.0;"2";2;1;"";""
1807;"2015-07-28 18:32:24";"";1807;"SS-14/A/1";"Peda Waltair";950.0;380.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;32.0;"1";17.727204;83.337511;9130031807.0;1;1;1;7.0;"2";2;1;"";""
1996;"2015-07-28 18:56:37";"";1996;"SS-15/A/2";"Peda Waltair";3030.0;1430.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;75.0;"1";17.729;83.338;9130031996.0;1;1;1;7.0;"2";2;1;"";""
1773;"2015-07-29 18:11:22";"";1773;"Sector-9,SS-119/B/1";"MVP Colony";1110.0;530.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;38.0;"1";17.743479;83.342253;9130031773.0;1;1;1;7.0;"2";2;1;"";""
1823;"2015-07-31 12:20:52";"";1823;"Clinic,SS-172/A/1";"KRM Col,Raghavendra,";660.0;320.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;29.0;"1";17.743579;83.341253;9130031823.0;1;1;1;10.0;"2";2;1;"";""
1766;"2015-07-31 13:48:46";"";1766;"SS-48/A/1";"KRM Colony, Siva Tem";340.0;170.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;34.0;"1";17.743079;83.342053;9130031766.0;1;1;1;10.0;"2";2;1;"";""
2087;"2015-07-31 15:52:27";"";2087;"SS-121/A/8,";"ward10,KRAM Colony";380.0;180.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;45.0;"1";17.732;83.323;9130032087.0;1;1;1;10.0;"2";2;1;"";""
1732;"2015-07-31 16:43:01";"";1732;"SS-81/A/1/1";"krishna college road";300.0;140.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;70.0;"1";17.742;83.323;9130031732.0;1;1;1;10.0;"2";2;1;"";""
2073;"2015-07-31 17:00:44";"";2073;"SS-26/A/8,";"KRM Colony,";1070.0;510.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;39.0;"1";17.742;83.323;9130032073.0;1;1;1;10.0;"2";2;1;"";""
1976;"2015-08-01 09:39:05";"";1976;"SS-83/A/6";"KRM Colony";440.0;220.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;20.0;"1";17.742;83.323;9130031976.0;1;1;1;10.0;"2";2;1;"";""
1973;"2015-08-01 10:53:28";"";1973;"SS-30/A/7,";"Krishna College Road";840.0;420.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;30.0;"1";17.740251;83.323259;9130031973.0;1;1;1;10.0;"2";2;1;"";""
1975;"2015-08-01 11:11:12";"";1975;"IsukathotaSS-242/A/1";"Pusuwala Hospital,";1510.0;730.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;30.0;"1";17.742003;83.327586;9130031975.0;1;1;1;10.0;"2";2;1;"";""
2076;"2015-08-01 12:23:10";"";2076;"IsukathotaSS123/A4/2";"KrishanaCollege Rd";320.0;160.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;20.0;"1";17.74033;83.323274;9130032076.0;1;1;1;10.0;"2";2;1;"";""
1885;"2015-08-01 13:05:03";"";1885;"IsukathotSS-221/A/14";"National High-Way";160.0;80.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;20.0;"1";17.742003;83.327586;9130031885.0;1;1;1;10.0;"2";2;1;"";""
1974;"2015-08-01 13:40:14";"";1974;"thota,SS-208/A/1 ";"Opp.UnionBank,Isuka";160.0;80.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;20.0;"1";17.742339;83.325206;9130031974.0;1;1;1;10.0;"2";2;1;"";""
1844;"2015-08-01 15:47:52";"";1844;"SS-48/B/3";"KRM colony, ";1590.0;770.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;48.0;"1";17.74099;83.316807;9130031844.0;1;1;1;10.0;"2";2;1;"";""
1949;"2015-08-01 17:42:13";"";1949;"layam Rd,SS-57/B/1/2";"Venkojipalem,Rama";1030.0;490.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;41.0;"1";17.7449751;83.325727;9130031949.0;1;1;1;10.0;"2";2;1;"";""
1913;"2015-08-01 23:25:07";"";1913;"Thota, SS-92/A/3";"AmbedkarNagar, Isuka";1540.0;750.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;38.0;"1";17.742003;83.327586;9130031913.0;1;1;1;10.0;"2";2;1;"";""
1954;"2015-08-02 11:49:42";"";1954;"BhanuNagar,SS-87/B/2";"Maddelepalem, ";1130.0;530.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;59.0;"1";17.742003;83.327586;9130031954.0;1;1;1;10.0;"2";2;1;"";""
1950;"2015-08-02 12:42:07";"";1950;"SS-56/A/1,";"Ambedkar Colony,";310.0;150.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;30.0;"1";17.742003;83.327586;9130031950.0;1;1;1;10.0;"2";2;1;"";""
1776;"2015-08-02 17:54:34";"";1776;"Appurghar,SS-132-A-1";"VasavaniPalem,";690.0;330.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;37.0;"1";17.735626;83.314807;9130031776.0;1;1;1;7.0;"2";2;1;"";""
1768;"2015-08-02 18:00:12";"";1768;"Appughar,SS-133/B/3,";"Vsavani Palem";1590.0;770.0;0.0;0.0;26.0;0.0;0.0;0.0;0.0;30.0;"1";17.731626;83.313807;9130031768.0;1;1;1;7.0;"2";2;1;"";""
1799;"2015-08-02 18:08:36";"";1799;"SS-197-B-1";"vasavanipalem Vizag";120.0;60.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;20.0;"1";17.733626;83.316807;9130031799.0;1;1;1;7.0;"2";2;1;"";""
1903;"2015-08-03 11:12:09";"";1903;"Nagar,SS-220/A/2";" Maddelepalem,Bhanu";240.0;120.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;20.0;"1";17.742003;83.327586;9130031903.0;1;1;1;10.0;"2";2;1;"";""
1910;"2015-08-03 11:30:34";"";1910;"Nagar,SS-257/B/3";"Maddelepalem,Bhanu";300.0;140.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;70.0;"1";17.742003;83.327586;9130031910.0;1;1;1;10.0;"2";2;1;"";""
